Localidade;Municipio;Logradouro;Situacao;CEP;Bairro
SP;Jarinu;Rua Goar Lorencini;Valido;13240001;Centro
SP;Jarinu;Rua Isidoro Soranz;Valido;13240002;Centro
SP;Jarinu;Rua Honofre Abel de Camargo;Valido;13240003;Centro
SP;Jarinu;Avenida Ernesto de Moraes;Valido;13240005;Centro
SP;Jarinu;Rua da Independência;Valido;13240007;Centro
SP;Jarinu;Rua Sebastião Bueno Ferraz;Valido;13240009;Centro
SP;Jarinu;Rua João Pessoa;Valido;13240010;Centro
SP;Jarinu;Avenida Doutor Artur Bernardes;Valido;13240011;Centro
SP;Jarinu;Rua 15 de Novembro;Valido;13240013;Centro
SP;Jarinu;Rua Amélia;Valido;13240015;Centro
SP;Jarinu;Rua Constante Amador Lorencini;Valido;13240017;Centro
SP;Jarinu;Rua David Lopes de Camargo;Valido;13240019;Centro
SP;Jarinu;Rua Juvenal Lopes de Camargo;Valido;13240021;Centro
SP;Jarinu;Avenida Angelo Bernucci;Valido;13240023;Centro
SP;Jarinu;Rua Vereador Hermínio Contesini;Valido;13240025;Centro
SP;Jarinu;Rua Pedro Renato Lorencini;Valido;13240027;Centro
SP;Jarinu;Rua Daihati Nishimura;Valido;13240029;Centro
SP;Jarinu;Rua José Tenente;Valido;13240031;Centro
SP;Jarinu;Rua Francisco Alves de Siqueira Júnior;Valido;13240033;Centro
SP;Jarinu;Rua Juvenal Alvim;Valido;13240035;Centro
SP;Jarinu;Rua Coronel José Inácio;Valido;13240037;Centro
SP;Jarinu;Rua José de Moura;Valido;13240039;Centro
SP;Jarinu;Praça Nossa Senhora do Carmo;Valido;13240041;Centro
SP;Jarinu;Rua Guilherme Contesini;Valido;13240043;Centro
SP;Jarinu;Avenida Vereador Pedro Contesini;Valido;13240044;Centro
SP;Jarinu;Avenida Doutor Antenor Soares Gandra;Valido;13240045;Centro
SP;Jarinu;Avenida Prefeito Guilherme Zanoni;Valido;13240046;Centro
SP;Jarinu;Praça 17 de Abril;Valido;13240047;Centro
SP;Jarinu;Avenida da Saudade;Valido;13240049;Centro
SP;Jarinu;Rua 1;Valido;13240055;Horto dos Ipês
SP;Jarinu;Rua Lauro Tafarelo;Valido;13240056;Horto dos Ipês
SP;Jarinu;Rua Carlos Fusuzzi;Valido;13240057;Horto dos Ipês
SP;Jarinu;Rua 15 de Novembro;Valido;13240060;Vila Rica
SP;Jarinu;Rua João Pessoa;Valido;13240062;Vila Rica
SP;Jarinu;Avenida Doutor Artur Bernardes;Valido;13240064;Vila Rica
SP;Jarinu;Rua Julio Zanoni;Valido;13240065;Vila Rica
SP;Jarinu;Avenida Luiz Domingues;Valido;13240066;Vila Rica
SP;Jarinu;Rua Leão Rachman;Valido;13240067;Vila Rica
SP;Jarinu;Rua Julio de Toledo;Valido;13240068;Vila Rica
SP;Jarinu;Rua dos Pássaros;Valido;13240070;Parque Antonio Afonso Pereira
SP;Jarinu;Rua Lucrécia Valério;Valido;13240072;Parque Antonio Afonso Pereira
SP;Jarinu;Avenida José Manara;Valido;13240074;Parque Antonio Afonso Pereira
SP;Jarinu;Rua Joaquim Lopes;Valido;13240076;Parque Antonio Afonso Pereira
SP;Jarinu;Rua Aléssio Bonança;Valido;13240078;Parque Antonio Afonso Pereira
SP;Jarinu;Rua Francisco Savone;Valido;13240080;Parque Antonio Afonso Pereira
SP;Jarinu;Rua Ema;Valido;13240150;Vila Guilherme
SP;Jarinu;Rua Ubirajara Antonio Zambotto;Valido;13240152;Vila Guilherme
SP;Jarinu;Rua 15 de Novembro;Valido;13240154;Vila Guilherme
SP;Jarinu;Rua Julio de Toledo;Valido;13240156;Vila Guilherme
SP;Jarinu;Avenida Luiz Domingues;Valido;13240158;Vila Guilherme
SP;Jarinu;Avenida Doutor Artur Bernardes;Valido;13240160;Vila Guilherme
SP;Jarinu;Rua Guilherme Zambotto;Valido;13240162;Vila Guilherme
SP;Jarinu;Rua Ema;Valido;13240170;Jardim da Saúde
SP;Jarinu;Rua Luiz Bonança;Valido;13240172;Jardim da Saúde
SP;Jarinu;Rua Luiz Bernucci;Valido;13240174;Jardim da Saúde
SP;Jarinu;Rua Luiz Soares Moura;Valido;13240176;Jardim da Saúde
SP;Jarinu;Travessa do Velório;Valido;13240178;Jardim da Saúde
SP;Jarinu;Rua Antonio Lopes da Cruz;Valido;13240180;Jardim da Saúde
SP;Jarinu;Rua João Benedito Bueno;Valido;13240182;Jardim da Saúde
SP;Jarinu;Rua Padre João Maria Riolo;Valido;13240184;Jardim da Saúde
SP;Jarinu;Rua Antonio de Aguiar Peçanha;Valido;13240186;Jardim da Saúde
SP;Jarinu;Praça Francisco Alves de Siqueira Junior;Valido;13240187;Jardim da Saúde
SP;Jarinu;Rua Francisco Damasio de Oliveira;Valido;13240188;Jardim da Saúde
SP;Jarinu;Rua Beneditro Estevam de Godoy;Valido;13240190;Jardim da Saúde
SP;Jarinu;Rua Eugênio da Silva Bressane;Valido;13240192;Jardim da Saúde
SP;Jarinu;Rua Alice Amorim Gonçalves;Valido;13240194;Jardim da Saúde
SP;Jarinu;Rua Humberto Zambotto;Valido;13240250;Jardim Bonança
SP;Jarinu;Rua Alcides Biasin;Valido;13240252;Jardim Bonança
SP;Jarinu;Rua Pedro Lorencini;Valido;13240254;Jardim Bonança
SP;Jarinu;Rua José Lorencini;Valido;13240256;Jardim Bonança
SP;Jarinu;Rua Sebastião Siqueira Bueno;Valido;13240258;Jardim Bonança
SP;Jarinu;Rua Emílio Musselli;Valido;13240260;Jardim Bonança
SP;Jarinu;Rua João Bulgarelli;Valido;13240400;Vila Santa Rosa
SP;Jarinu;Rua Natale Bernucci;Valido;13240402;Vila Santa Rosa
SP;Jarinu;Rua Vereador Osvaldo Damásio de Oliveira;Valido;13240410;Jarinu FC
SP;Jarinu;Rua Angelina Leonardelli Conti;Valido;13240412;Jarinu FC
SP;Jarinu;Rua Nestor Lorencini;Valido;13240414;Jarinu FC
SP;Jarinu;Avenida Vereador João Pedro Ferraz;Valido;13240420;Esplanada do Carmo
SP;Jarinu;Alameda Teresina;Valido;13240422;Esplanada do Carmo
SP;Jarinu;Avenida José Mauro Soranz;Valido;13240424;Esplanada do Carmo
SP;Jarinu;Alameda Rio Branco;Valido;13240426;Esplanada do Carmo
SP;Jarinu;Alameda Campo Grande;Valido;13240428;Esplanada do Carmo
SP;Jarinu;Alameda Recife;Valido;13240430;Esplanada do Carmo
SP;Jarinu;Alameda Porto Alegre;Valido;13240432;Esplanada do Carmo
SP;Jarinu;Alameda Manaus;Valido;13240434;Esplanada do Carmo
SP;Jarinu;Alameda Belém;Valido;13240436;Esplanada do Carmo
SP;Jarinu;Alameda Guanabara;Valido;13240438;Esplanada do Carmo
SP;Jarinu;Alameda Cuiabá;Valido;13240440;Esplanada do Carmo
SP;Jarinu;Alameda Belo Horizonte;Valido;13240442;Esplanada do Carmo
SP;Jarinu;Alameda Florianópolis;Valido;13240444;Esplanada do Carmo
SP;Jarinu;Alameda Curitiba (lado par);Valido;13240446;Esplanada do Carmo
SP;Jarinu;Alameda São Salvador;Valido;13240448;Esplanada do Carmo
SP;Jarinu;Alameda Juscelino Kubitshek;Valido;13240450;Esplanada do Carmo
SP;Jarinu;Alameda Goiânia;Valido;13240452;Esplanada do Carmo
SP;Jarinu;Alameda Brasília;Valido;13240454;Esplanada do Carmo
SP;Jarinu;Estrada Municipal Ernesta Beazim Ferrara (JAR-343);Valido;13240700;Bairro do Chavi
SP;Jarinu;Estrada Municipal Pedro Franco de Moura (JAR-348);Valido;13240800;Bairro do Breu
SP;Jarinu;Estrada Municipal Benvenuto Parise (JAR-040);Valido;13240801;Bairro do Breu
SP;Jarinu;Estrada Municipal Celestino Parise (JAR-163);Valido;13240802;Bairro do Breu
SP;Jarinu;Estrada Municipal Natal Lorencini (JAR-030);Valido;13240811;Bairro do Olaria
SP;Jarinu;Estrada Municipal Atílio Bego;Valido;13240812;Bairro da Olaria
SP;Jarinu;Estrada Municipal João Ferrarezi;Valido;13240813;Bairro da Olaria
SP;Jarinu;Estrada Municipal Luiz Comin;Valido;13240814;Bairro da Olaria
SP;Jarinu;Rua Rodolfo Gastaldi;Valido;13241000;Conjunto Habitacional Nicola Tafarelo
SP;Jarinu;Rua Dorival Antonio Ferrara;Valido;13241002;Conjunto Habitacional Nicola Tafarelo
SP;Jarinu;Rua João Baptista Parise;Valido;13241004;Conjunto Habitacional Nicola Tafarelo
SP;Jarinu;Rua Miguel Siqueira Bueno;Valido;13241006;Conjunto Habitacional Nicola Tafarelo
SP;Jarinu;Rua João Siqueira Bueno;Valido;13241008;Conjunto Habitacional Nicola Tafarelo
SP;Jarinu;Rua Benedito Manuel de Souza;Valido;13241010;Jardim Morada Alta
SP;Jarinu;Rua Pedro de Camargo Thompson;Valido;13241012;Jardim Morada Alta
