Logradouro;Bairro;CEP;Situacao
Rua Goar Lorencini;Centro;13240001;Valido
Rua Honofre Abel de Camargo;Centro;13240003;Valido
Avenida Ernesto de Moraes;Centro;13240005;Valido
Rua da Independência;Centro;13240007;Valido
Rua Sebastião Bueno Ferraz;Centro;13240009;Valido
Rua João Pessoa;Centro;13240010;Valido
Avenida Doutor Artur Bernardes;Centro;13240011;Valido
Rua 15 de Novembro;Centro;13240013;Valido
Rua Amélia;Centro;13240015;Valido
Rua Constante Amador Lorencini;Centro;13240017;Valido
Rua David Lopes de Camargo;Centro;13240019;Valido
Rua Juvenal Lopes de Camargo;Centro;13240021;Valido
Avenida Angelo Bernucci;Centro;13240023;Valido
Rua Vereador Hermínio Contesini;Centro;13240025;Valido
Rua Pedro Renato Lorencini;Centro;13240027;Valido
Rua Daihati Nishimura;Centro;13240029;Valido
Rua José Tenente;Centro;13240031;Valido
Rua Francisco Alves de Siqueira Júnior;Centro;13240033;Valido
Rua Juvenal Alvim;Centro;13240035;Valido
Rua Coronel José Inácio;Centro;13240037;Valido
Rua José de Moura;Centro;13240039;Valido
Praça Nossa Senhora do Carmo;Centro;13240041;Valido
Rua Guilherme Contesini;Centro;13240043;Valido
Avenida Vereador Pedro Contesini;Centro;13240044;Valido
Avenida Doutor Antenor Soares Gandra;Centro;13240045;Valido
Avenida Prefeito Guilherme Zanoni;Centro;13240046;Valido
Praça 17 de Abril;Centro;13240047;Valido
Avenida da Saudade;Centro;13240049;Valido
Rua 1;Horto dos Ipês;13240055;Valido
Rua Lauro Tafarelo;Horto dos Ipês;13240056;Valido
Rua Carlos Fusuzzi;Horto dos Ipês;13240057;Valido
Rua 15 de Novembro;Vila Rica;13240060;Valido
Rua João Pessoa;Vila Rica;13240062;Valido
Avenida Doutor Artur Bernardes;Vila Rica;13240064;Valido
Rua Julio Zanoni;Vila Rica;13240065;Valido
Avenida Luiz Domingues;Vila Rica;13240066;Valido
Rua Leão Rachman;Vila Rica;13240067;Valido
Rua Julio de Toledo;Vila Rica;13240068;Valido
Rua dos Pássaros;Parque Antonio Afonso Pereira;13240070;Valido
Rua Lucrécia Valério;Parque Antonio Afonso Pereira;13240072;Valido
Avenida José Manara;Parque Antonio Afonso Pereira;13240074;Valido
Rua Joaquim Lopes;Parque Antonio Afonso Pereira;13240076;Valido
Rua Aléssio Bonança;Parque Antonio Afonso Pereira;13240078;Valido
Rua Francisco Savone;Parque Antonio Afonso Pereira;13240080;Valido
Rua Ema;Vila Guilherme;13240150;Valido
Rua Ubirajara Antonio Zambotto;Vila Guilherme;13240152;Valido
Rua 15 de Novembro;Vila Guilherme;13240154;Valido
Rua Julio de Toledo;Vila Guilherme;13240156;Valido
Avenida Luiz Domingues;Vila Guilherme;13240158;Valido
Avenida Doutor Artur Bernardes;Vila Guilherme;13240160;Valido
Rua Guilherme Zambotto;Vila Guilherme;13240162;Valido
Rua Ema;Jardim da Saúde;13240170;Valido
Rua Luiz Bonança;Jardim da Saúde;13240172;Valido
Rua Luiz Bernucci;Jardim da Saúde;13240174;Valido
Rua Luiz Soares Moura;Jardim da Saúde;13240176;Valido
Travessa do Velório;Jardim da Saúde;13240178;Valido
Rua Antonio Lopes da Cruz;Jardim da Saúde;13240180;Valido
Rua João Benedito Bueno;Jardim da Saúde;13240182;Valido
Rua Padre João Maria Riolo;Jardim da Saúde;13240184;Valido
Rua Antonio de Aguiar Peçanha;Jardim da Saúde;13240186;Valido
Praça Francisco Alves de Siqueira Junior;Jardim da Saúde;13240187;Valido
Rua Francisco Damasio de Oliveira;Jardim da Saúde;13240188;Valido
Rua Beneditro Estevam de Godoy;Jardim da Saúde;13240190;Valido
Rua Eugênio da Silva Bressane;Jardim da Saúde;13240192;Valido
Rua Alice Amorim Gonçalves;Jardim da Saúde;13240194;Valido
Rua Humberto Zambotto;Jardim Bonança;13240250;Valido
Rua Alcides Biasin;Jardim Bonança;13240252;Valido
Rua Pedro Lorencini;Jardim Bonança;13240254;Valido
Rua José Lorencini;Jardim Bonança;13240256;Valido
Rua Sebastião Siqueira Bueno;Jardim Bonança;13240258;Valido
Rua Emílio Musselli;Jardim Bonança;13240260;Valido
Rua João Bulgarelli;Vila Santa Rosa;13240400;Valido
Rua Natale Bernucci;Vila Santa Rosa;13240402;Valido
Rua Vereador Osvaldo Damásio de Oliveira;Jarinu FC;13240410;Valido
Rua Angelina Leonardelli Conti;Jarinu FC;13240412;Valido
Rua Nestor Lorencini;Jarinu FC;13240414;Valido
Avenida Vereador João Pedro Ferraz;Esplanada do Carmo;13240420;Valido
Alameda Teresina;Esplanada do Carmo;13240422;Valido
Avenida José Mauro Soranz;Esplanada do Carmo;13240424;Valido
Alameda Rio Branco;Esplanada do Carmo;13240426;Valido
Alameda Campo Grande;Esplanada do Carmo;13240428;Valido
Alameda Recife;Esplanada do Carmo;13240430;Valido
Alameda Porto Alegre;Esplanada do Carmo;13240432;Valido
Alameda Manaus;Esplanada do Carmo;13240434;Valido
Alameda Belém;Esplanada do Carmo;13240436;Valido
Alameda Guanabara;Esplanada do Carmo;13240438;Valido
Alameda Cuiabá;Esplanada do Carmo;13240440;Valido
Alameda Belo Horizonte;Esplanada do Carmo;13240442;Valido
Alameda Florianópolis;Esplanada do Carmo;13240444;Valido
Alameda Curitiba (lado par);Esplanada do Carmo;13240446;Valido
Alameda São Salvador;Esplanada do Carmo;13240448;Valido
Alameda Juscelino Kubitshek;Esplanada do Carmo;13240450;Valido
Alameda Goiânia;Esplanada do Carmo;13240452;Valido
Alameda Brasília;Esplanada do Carmo;13240454;Valido
Estrada Municipal Ernesta Beazim Ferrara (JAR-343);Bairro do Chavi;13240700;Valido
Estrada Municipal Pedro Franco de Moura (JAR-348);Bairro do Breu;13240800;Valido
Estrada Municipal Benvenuto Parise (JAR-040);Bairro do Breu;13240801;Valido
Estrada Municipal Celestino Parise (JAR-163);Bairro do Breu;13240802;Valido
Estrada Municipal Natal Lorencini (JAR-030);Bairro do Olaria;13240811;Valido
